,query,gold_answer,model_answer
14,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""energy consumption"", Content: ""After trying the ChatGPT iOS app, I noticed that it might be causing my iPhone to overheat, possibly due to issues with the iPhone neural network chip. I also encountered a similar problem while using the Draw Things app. It seems that this issue might be widespread among AI-based iOS applications.""",5,3
15,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""I think this is a great software."", Content: ""I think everyone needs an AI friend, because it knows everything, and when you need it, you can be by your side to solve problems or comfort you and encourage you. I hope to join the Internet function as soon as possible.""",5,5
16,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Takes two attempts to delete a chat while it’s open"", Content: ""Besides that it’s incredible. I would like the option to turn the response into a pdf so it can be saved in my notes. Other than that well done and keep up the good work.""",5,5
17,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Yes!!"", Content: ""This is fantastic! I used to need to bookmark the ChatGPT website on my phones Home Screen, but having an app made directly from OpenAI is absolutely amazing.

I’ve already used it today during a conference to help me brainstorm. It was easy to login, saved my Plus membership, and was very prompt in its response.""",5,5
18,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Mobile app and Desktop conversion don’t sync"", Content: ""I was having a conversation in the desktop using Mozilla Firefox. Later when I tried to continue the discussion from the mobile app, the History did not show the conversation that I had in the desktop. Quite inconvenient. Hope this will be improved!""",4,2
19,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Seems a bit buggy"", Content: ""I understand it’s still the first release of the app. Works great and the ai is fine but when writing the text it jumps all over the screen and bugs out on me. Also the voice to text feature doesn’t work""",5,3
20,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Game changer for Educators"", Content: ""31 years in education and I feel like my ability to guide student success , as a high school academic advisor , multiplied to unimaginable levels  with OpenAI.  Now, I’m able to literally carry this superpower  in my back pocket .  Forget retirement ,   I’m sticking around to see where this takes us next !""",5,5
21,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Spectacular"", Content: ""ChatGPT is amazing. It literally helps me every day. And even when I don't need to use it, I just go into the app to use it's much more sophisticated voice recognition than Apple. It's just that amazing. This was also made using their voice recognition, by the way.""",5,5
22,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""To make the song from a real person who made it"", Content: ""I think you can add if the ai can finish lyrics of the music or make the actual song which not creative but the real song instead and would help the app grow a little more""",5,3
23,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Up to date on the latest tech developments"", Content: ""Excellent performance! Very smooth. Quick answers to complex questions including the latest tech developments in different industries. Also great with writing poems in different languages! What a great service. Thank you for upgrading the internet!""",5,5
24,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""10/10 r"", Content: ""This App has exceeded my expectations & I’m only using the free version so I can only imagine what else it’s capable of. I don’t know much about AI but what I do know is ChatGPT is way better than Google, Yahoo & and whatever else you can type in just to find manipulated searches. Thank you kindly !!""",5,5
25,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Adding the iOS dictionary feature"", Content: ""I often encounter new words. In the browser version of ChatGPT, I can easily look for these words in iOS dictionary. But in this app, I couldn’t access this helpful feature. It forces me to have to use the web version, otherwise it is quite inconvenient for me.""",4,3
26,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Better than browser"", Content: ""The app took kinda long to release but it feels good pretty much has the same features but more mobile and to me it felt faster than browser keep the good job up guys and update the app anually and make new GPTs that is all i ask for""",5,4
27,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""The pictures don't appear"", Content: ""When proposing a topic that requires a picture

It seems that there is an error and the rest of the features of the application are very excellent and fast and the defect you mentioned does not decrease the performance of the application. Thank you.""",5,3
28,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Well,but with some little problems there."", Content: ""1.Wish the developers of OpenAI to adapt iPad soon, in order to have full screen views.
2.Hope to have more language choices in this application like that on the website
Last,really willing for your reply!""",5,3
29,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Best Information tool on the market"", Content: ""ChatGPT is the best information tool on the market. It leverages LLM and other machine learning algorithms to return all the information you need in an instance. ChatGPT has been a revelation and I’m glad I live during a time when this technology is available to the public.""",5,5
30,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Worth the wait"", Content: ""Mostly reviewing to get this up the charts and push all the fakes down. Not much else needs to be said here. Very solid but I would still keep that browser shortcut handy on the home screen for at least an update or two.""",5,3
31,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""🙌🏻"", Content: ""From someone that uses ChatGPT a lot, i am more than pleased to see it in app form now. Just downloaded and have only sent in one question/request so far, and it of course worked perfectly. Hopefully it continues that way! Will update later on😊""",5,5
32,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Very good but…"", Content: ""The app is actually very good very clear very easy to use, but I had a problem with it if you change the language to Arabic and you asked about something and it had to write it in a long paragraph, it causes an overflow, and it doesn’t show a side bar or scroll to read the rest of the paragraph.""",4,5
33,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Search function FTW!"", Content: ""The biggest feature I’ve been dreaming about for the desktop version was the search capability to be able to search past prompts. I am super happy to see search has been added to this app. Thank you!!""",5,5
34,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Amazing tool"", Content: ""ChatGPT is amazing, everyone knows that. The official app is fantastic. I wish it the app had access to the beta web searching and plugins though. I find I end up using the web app as I need access to plugins. Hopefully they’ll add that functionality soon.""",5,5
35,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Thank you!"", Content: ""None of the third party apps compared to the free version of ChatGPT, so I had been using a website shortcut to use it on my phone. The app is a much nicer experience than a website shortcut, and I’m so excited there’s an official app now! History in the making!""",5,5
36,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Beautiful and functional"", Content: ""I love the simplicity and elegance of the user interface. My only complaint is that it currently doesn’t work well on iPad - it doesn’t scale properly to fit the larger screen. Otherwise it’s wonderful - fast, responsive, and simple.""",5,5
37,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Web browsing where are uuuu"", Content: ""I can access GPT-4 w/ Browsing on web version, but I can’t access the same thing with the app. #sad

Otherwise the app functions well; text feels like it appears quicker than on web.

It would help new users if you informed them of all the swiping gestures on first launch.""",4,3
38,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Battery usage"", Content: ""Unfortunately, this app consumes a lot of battery and heats up the phone when using it. If possible, please address this issue. However, it truly has impressive artificial intelligence, and I have received very convincing answers from it.""",5,5
39,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Need web access but its insane."", Content: ""We are at the beginning of an information revolution. This app needs web access but Chat GPT is already a game changer for every industry. With further development and integration all of our lives will change.""",5,5
40,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Very yummy"", Content: ""Love the minimalist vibe to it. I like how the phone vibrates when it generates words. Feels really tactile and satisfying. Never had any issues with the app and works as expected. Another hit from openai. I have worked with many of their products in the past like dall e and some of the early stages of gpt like GPT-J.""",5,5
41,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""1 problem away from 5 stars"", Content: ""I really like the design of the new app. I also like that it will listen for a follow up question until dismissed. The only thing keeping it from a five star review is that I can’t get the shortcut to run properly on the Apple Watch. Fix that and you’ll get five.""",4,5
42,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""So far OK, but!"", Content: ""I haven't really seen the full potential of the app, but so far, the only thing I don't like is the fact that one can't edit their question once it's sent. This is something possible when using the desktop version of ChatGPT""",5,3
43,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Review"", Content: ""Like it so far. First time trying it. Hope it gets more things such as prompts to help you. Because when i ask for respond to a text I dont know how to do it correctly. By having a prompt or a fill in a blank is useful.""",5,5
44,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Amazing app please add voice out !!"", Content: ""I love this app it’s changed my work flow entirely. I love the voice in option you’ve added but please add voice output as well even if it’s a computer voice I’d love it if the app could speak back. Thank you would make life easier.""",5,5
45,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Excellent"", Content: ""I have always had a soft spot for this software, which is simply the spiritual food in life. Since I have a software app, it has become very convenient and I have always favored it. I just don't know when GPT5 will be released, and I am looking forward to ing…""",5,5
46,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Not just a web app"", Content: ""They could have easily just made a web app, the equivalent of “add to Home Screen”, the same thing of smart home devices these days do, but instead they made an optimized UI and it keeps you signed in, so it’s worth it""",5,3
47,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Great to see ChatGPT on iOS"", Content: ""Been very impressed with ChatGPT and even subscribed to it.   One criticism I have it the lack of currency and now find myself using Google Bard when needing the most current information.  I really hope that ChatGPT prioritizes getting their database up to the current date and not just an artificial 2021 cutoff.""",4,5
48,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""It’s pretty neat"", Content: ""This version is really neat! It has a lot of the features and allows managing chatgpt plus easily and allows to pay with it via iOS. However it is missing some features in chatgpt plus, mainly the beta area, but overall it’s pretty nice and simple!""",5,5
49,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Chatgpt is a time saver!"", Content: ""Definitely AI.  Chatgpt is a brilliant time saver.  It is like having a personal assistant with you all of the time.   This app is good.  I wish it could be used in wide screen orientation for creation of formatted documents.   This app make my phone warm so I imagine it’s using a lot of energy.""",5,5
50,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Works good but has bugs."", Content: ""I personally love using ChatGPT but I find that the web browser has less minor issues than the app. My app tends to freeze or have request timeouts and sometimes the questions don’t even register after submission. Would love to see this app improved and will continue using ChatGPT on the browser.""",3,4
51,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Good native app."", Content: ""It’s a good app. Does what it says. 

If I could make a suggestion it would be to have the input and output different hues like the web version. that would make it a bit easier to understand what text is mine and what text is chatGPT’s.""",5,5
52,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Best chat bot I’ve seen"", Content: ""Literally every other mobile AI chat bot has a max word limit or some sort of premium but this one is completely free that I’ve noticed so far and that’s the best thing about it, I strongly recommend downloading if your looking for a good, free AI chat bot""",5,5
53,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""ChatGPT"", Content: ""I love this app! I’ve seen these bad reviews on this app about verification not working and having to use your phone number. I signed up like 2 or 3 weeks ago, and none of that was there back then. but I really love this app because AI is really smart.""",5,5
54,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Such great app"", Content: ""not only this gives me perfect answers also it gives me answers for everything like my personal problems its like free therapy or having online friend i am so grateful. killing my free time chatting its kinda funny(: but absolutely recommend""",5,5
55,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Missing plug-in support"", Content: ""App is very solid including whisper support. Would be nice if the plug-ins and browser options worked in the app version. It’s sometimes confusing swiping back and forth between the browser and app version.""",5,3
56,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Great but the website experience is much better"", Content: ""I wish the app offered the experience of finding history like the website. I think the UI can be improved a lot to match the UI UX of the website.""",5,4
57,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Fantastic!"", Content: ""Caveat: Please add native iPad support for the app.  This is great, I’m a Pro ChatGPT subscriber and the iOS app is well timed, as I was in the process of building one myself that uses the OpenAI APIs.  Now I can focus my time on other projects instead of building something like what they’ve done a great job with.  Thanks OpenAI!""",5,5
58,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Urgent Bug Fix Required Immediately!"", Content: ""Please fix the bug where the text generation fails to generate more text in one message. Currently, it splits the text into multiple messages, but I would like it to be like the desktop version, where it's all in one message.""",4,3
59,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""THE HAPTICS OH LORD"", Content: ""This is how you make an app. The app is so good it makes me want to use chatgpt more. I hated going to the browser again and again. It would often log me out as well. Thank you so much for making this. It is flawless at first glance, and the haptics Are just heavenly. Minimal. Clean. Usable. A+""",5,5
60,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""To the Homophobic and Racist people within the reviews sections of this app."", Content: ""Stop being a stain on the earth and actually be useful towards other people and the earth. Thank you <3. No agendas are happening, people are learning to actually be respectful. Cry about it. This app is 5 stars.""",5,5
61,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""I love it!"", Content: ""The voice-to-text input is extremely useful and makes interaction easier. It’s crazy how good Whisper is. 

One suggestion: It would be cool through if ChatGPT could also read the answers in a synthetic voice at a certain speed.""",5,5
62,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Very good app"", Content: ""The app didn't require you to buy premium, unlike other apps that need 40 bucks to work. I am also very surprised at how much good advise it has given me in such a short amount of time. Also there is no ads, which I love.""",5,5
63,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Google 2sv 403 error"", Content: ""I keep getting an error when trying to log in with my google account. My paid account is through google. So I would like to access it. Does anyone have insight?

Update. It fixes itself.""",5,3
64,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Web version is better"", Content: ""ChatGPT provides the most accurate and thorough responses that I’ve seen amongst all of the AI apps that I’ve tried. However, I found that the responses on the website are more thorough than the responses in the app when the same question is posed to each.""",4,5
65,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Beautiful"", Content: ""Great to see a native app after all the hype around AI. Beautiful UI as well. It doesn't seem to have Plugins yet for paid users though. As an engineer, I understand the need to get something out and iterate on that. As a user, I'm just being impatient. Keep up the great work!""",5,5
66,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Best Invention Ever!"", Content: ""Can’t thank the OpenAI Team enough for the beautiful new app. This will make getting things done on my phone that much easier. Looking forward to all the new functionality that comes out in the next few months!""",5,5
67,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Should be more like website"", Content: ""I understand the app is supposed to be different and better than the website, but it just feels different. The format is worse and harder to navigate than the website. It still carry’s me in school tho""",4,3
68,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Image/video generation and input"", Content: ""Glad to see the app, much quicker access now! But would definitely love to see more features added! Please add photo upload to allow it to describe and analyze photos/videos!""",5,4
69,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Take me now AI Overlords!"", Content: ""Fantastic application, very useful which allows for you to stay logged into it remembering past conversations.  Haptic feedback is amazing when the AI is typing back.  Only downside is a crazy battery drain and increase on device temperatures when running the application (so use sparingly).""",4,5
70,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Not available in specific areas!"", Content: ""Dear Open AI,
Please make it available in Iran. Unfortunately , Iranians cannot register with their phone numbers. Just like Instagram, Facebook and other apps that do the registration process and send codes to Iran’s phone numbers""",5,3
71,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""My review"", Content: ""There are some things that could be tweaked (bugs really) and maybe some features that the site has and things but overall still wonderfully amazing""",5,5
72,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Positive first impression"", Content: ""The UI is clean and the haptic feedback is appreciated. Hoping to see web support added for Plus users sooner, rather than later. Keep up the good work. Excited and terrified of the future all at once but on we go!""",5,5
73,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Please add chat sync function"", Content: ""As good as desk top version.

One suggestion, please sync chat cross different platform in real time. For example, verbally send questions via phone, after being replied, continue chat via desktop version.""",5,3
74,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Thank you for this!"", Content: ""I’m overjoyed chatGPT has an app now. While I do have my web browser page dedicated to this,  this is a nice pleasant upgrade. 

My only recommendation would be automatic scrolling for results longer than the window.""",5,5
75,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""nice! the long waited chatgpt"", Content: ""I really love the fact that you have finally submitted an iOS app. Its simple and beautiful. Can't wait to see the knock offs go down ASAP, those mimicking the OpenAI logo because there are useful apps that developed quality content around ChatGPT and GPT-4. Good luck!🔥""",5,5
76,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""ChatGPT on Mobile Devices"", Content: ""You’re basically getting the same ChatGPT from computers on your phone with a much more “phone-friendly” UI. It works pretty much the same as ChatGPT on computers. Nothing else to say really. You get what you get with this.""",5,4
77,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Good but Laggy and Limit"", Content: ""It works, but it’s pretty laggy sometimes, so you’ll have to restart it or make a new chat. But I’m also disappointed because there’s a limit on how many texts and questions we send per hour. It would definitely be better without lag and if there was no limit""",3,3
78,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""About time"", Content: ""Really enjoyed using chat gpt on the web. Glad they made a better version for ios. Hope to see whisper integrated into more products into the future and even possibly SwiftKey.""",5,5
79,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Finally on my phone and tablet"", Content: ""I created a shortcut to open ChatGPT in a web browser to simulate an app. This is much more convenient! I already pay for the Plus subscription, so I didn’t want to pay for a separate app that uses the OpenAI API anyways.""",5,5
80,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Update fixed the overheating/battery issue"", Content: ""The first update fixed my issues. The app works great, and of course ChatGPT is incredible.

Feature request: it would be nice if we could pin chats in our history.""",5,5
81,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""please do not automatically translate voice recording question"", Content: ""Please do not translate  voice recorder question automatically, leave it as it was before. it’s a wonderful functionality that voice recording can be multi language capability.""",4,3
82,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""不错"", Content: ""ChatGPT is not bad. It can answer many questions. It can provide many reference opinions for some questions in different fields, especially in the academic research field, which can improve the work efficiency and optimize the teaching plan for teachers.""",5,5
83,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Very good very helpful"", Content: ""I love chat gpt so much. Honestly it has help me a lot. When I’m bored, I can also play games like tic tac toe or hang man with chat gpt. I think the app is more convenient than the website so I use this app. Really good helper and I really recommend it.""",5,5
84,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""I love it, but…"", Content: ""It drains the battery faster than any other app I use. I guess it’s from the haptic feedback, so I turned it off. Otherwise, I love it. It’s clean, copy/paste is perfect, history and everything else you need are out of the way, but easily accessible in the three-dot menu.""",4,5
85,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Apple Watch app wanted"", Content: ""It has been nice using an official app for GPT. It has worked absolutely flawless and I have no issues with it. I would absolutely love an Apple Watch version as it would make GPT even more easier to use.""",5,5
86,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Nice"", Content: ""I haven't used it much yet because i just got it. So far though, its the best one ive gotten because all the others you only get 3 free questions per day. I like how fast this one types out the answers too. Its really satisfying""",5,5
87,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""The voice recorder is poor"", Content: ""I am pretty sure I don't say anything beyond the filter and it has happened to me multiple times now when I am recording a text of around 10 sentences about and it gets deleted for some reason before it gets processed into a text. It is really frustrating..""",3,1
88,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Love to be able to use on the go"", Content: ""The history view as well as search there is also really great. Justifies the mobile app instead of a web view experience""",5,5
89,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""App settings unavailable"", Content: ""App settings do not seem to be available on my device. In settings, all of my downloaded apps appear for this one. Unsure why that this but primary reason for the 3 star. My device is on the latest iOS release, I reinstalled the app, and restarted my device. Not sure if this is common amongst iOS users.""",3,3
90,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Good to have an official app, wish it was able to access past conversations from the browser version"", Content: ""Runs as expected, but only gave 4/5 stars as you aren’t able to access past conversions from the browser version and vice versa""",4,4
91,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Welcome to the future"", Content: ""ChatGPT's new iOS app update is a technicolor dreamcoat of linguistic fireworks. It's more than just an app; it's a portal to another realm of consciousness, a ticket to a rock concert of mind-bending interactions. Are you ready to step on stage? Because the show is just getting started, baby. Five stars.""",5,5
92,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Some problems"", Content: ""Software supports vibration and gives a typing-like sensation when answering questions. However, sometimes there is an issue where it doesn't respond when being asked for follow-up questions after a previous one. I hope the developers can address this.""",3,3
93,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Allow Chat GPT to use pictures in examples."", Content: ""Allow Chat GPT to use pictures and it and update on current information. Some type of live information update would be great.""",5,4
94,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""It’s fantastic."", Content: ""Holy cow! This chatgpt app is actually… good. Like I wouldn’t expect it to be but it just simply is. The haptic feedback is so delightful. Great job! I’ve been using it on a daily basis, 3.5 responses are okay so I mostly use 4.0. Both give responses extremely fast.""",5,5
95,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""I tried resetting my password"", Content: ""So I apparently “Already had an account” so I tried clicking “Forgot password?” the email got sent, but when I clicked on the link, it said “Link Expired” and I don’t know what’s going on""",5,1
96,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Suggestions for iPad Interface Scaling Optimization in App Development"", Content: ""Overall, it's pretty good. I hope the developers can consider optimizing the app interface scaling on the iPad, as it's a bit inconvenient to use the app on the iPad, especially on the iPad Pro, because the interface is too small.""",4,4
